 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> matlab

layers = 

  23×1 Layer array with layers:

     1   ''   Image Input             227×227×3 images with 'zerocenter' normalization
     2   ''   2-D Convolution         96 11×11 convolutions with stride [4  4] and padding [0  0  0  0]
     3   ''   ReLU                    ReLU
     4   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
     5   ''   2-D Convolution         256 5×5 convolutions with stride [1  1] and padding [5  5  5  5]
     6   ''   ReLU                    ReLU
     7   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
     8   ''   2-D Convolution         384 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
     9   ''   ReLU                    ReLU
    10   ''   2-D Convolution         384 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
    11   ''   ReLU                    ReLU
    12   ''   2-D Convolution         256 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
    13   ''   ReLU                    ReLU
    14   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
    15   ''   Fully Connected         4096 fully connected layer
    16   ''   ReLU                    ReLU
    17   ''   Dropout                 50% dropout
    18   ''   Fully Connected         4096 fully connected layer
    19   ''   ReLU                    ReLU
    20   ''   Dropout                 50% dropout
    21   ''   Fully Connected         10 fully connected layer
    22   ''   Softmax                 softmax
    23   ''   Classification Output   crossentropyex
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:05 |        9.87% |      11.6106 |      1.0000e-04 |
|      17 |          50 |       00:06:19 |       41.47% |       1.6359 |      1.0000e-04 |
|      34 |         100 |       00:13:12 |       57.87% |       1.1558 |      1.0000e-04 |
|      50 |         150 |       00:19:54 |       74.93% |       0.7465 |      1.0000e-04 |
|      67 |         200 |       00:26:35 |       84.93% |       0.4396 |      1.0000e-04 |
|      84 |         250 |       00:33:28 |       93.07% |       0.2279 |      1.0000e-04 |
|     100 |         300 |       00:39:57 |       98.80% |       0.0852 |      1.0000e-04 |
|     117 |         350 |       00:46:15 |       98.47% |       0.0930 |      1.0000e-04 |
|     134 |         400 |       00:53:23 |       99.53% |       0.0551 |      1.0000e-04 |
|     150 |         450 |       01:00:05 |       99.93% |       0.0281 |      1.0000e-04 |
|     167 |         500 |       01:07:43 |       91.20% |       0.2874 |      1.0000e-04 |
|     184 |         550 |       01:14:03 |       99.73% |       0.0298 |      1.0000e-04 |
|     200 |         600 |       01:20:38 |      100.00% |       0.0177 |      1.0000e-04 |
|     217 |         650 |       01:27:45 |       99.93% |       0.0269 |      1.0000e-04 |
|     234 |         700 |       01:34:39 |       25.80% |       2.0703 |      1.0000e-04 |
|     250 |         750 |       01:41:00 |       37.60% |       1.7761 |      1.0000e-04 |
|     267 |         800 |       01:47:57 |       57.13% |       1.2035 |      1.0000e-04 |
