epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.925848,1.20175,2.0199,1.43072,0.87974,0.63333,0.74046,0.47845,1.82921,1.34072,1.5289,0,0,0
2,1.20188,1.49123,2.69455,1.64384,0.85892,0.63333,0.73153,0.47762,1.84429,1.37787,1.53455,1.17822e-06,1.17822e-06,1.17822e-06
3,1.49356,1.81551,2.95945,1.96268,0.83439,0.63333,0.73152,0.47349,1.80682,1.4036,1.51933,2.33288e-06,2.33288e-06,2.33288e-06
4,1.77111,1.19296,2.13978,1.36901,0.80509,0.63333,0.73114,0.47357,1.77816,1.43503,1.50434,3.46397e-06,3.46397e-06,3.46397e-06
5,2.21406,1.34518,1.86734,1.40099,0.76904,0.63333,0.68943,0.44868,1.78401,1.44435,1.5057,4.5715e-06,4.5715e-06,4.5715e-06
6,2.65914,1.40287,2.51935,1.63469,0.74923,0.63333,0.64815,0.43195,1.79123,1.46908,1.5062,5.65548e-06,5.65548e-06,5.65548e-06
7,3.10017,1.32154,2.01661,1.46854,0.74617,0.63333,0.64836,0.44112,1.80272,1.48702,1.50881,6.71588e-06,6.71588e-06,6.71588e-06
8,3.54012,1.39556,2.47924,1.59349,0.72663,0.63333,0.64761,0.44091,1.81771,1.51882,1.51978,7.75273e-06,7.75273e-06,7.75273e-06
9,3.98245,1.21767,2.61399,1.53849,0.71187,0.63333,0.64777,0.4409,1.82144,1.54358,1.52386,8.76602e-06,8.76602e-06,8.76602e-06
10,4.42634,1.62628,2.36933,2.26839,0.71692,0.63333,0.64836,0.44107,1.82542,1.57253,1.5192,9.75574e-06,9.75574e-06,9.75574e-06
11,4.86129,1.56966,2.31056,1.86025,0.70004,0.63333,0.64827,0.44095,1.86283,1.58671,1.53465,1.07219e-05,1.07219e-05,1.07219e-05
12,5.30124,1.14206,2.01258,1.40151,0.66971,0.63333,0.64361,0.43119,1.89426,1.6006,1.54558,1.16645e-05,1.16645e-05,1.16645e-05
13,5.73971,1.1501,1.47129,1.27183,0.64344,0.63333,0.6441,0.43139,1.90831,1.61036,1.5495,1.25835e-05,1.25835e-05,1.25835e-05
14,6.17661,0.79039,1.28804,1.11374,0.61922,0.65,0.64044,0.42989,1.90571,1.63058,1.55095,1.3479e-05,1.3479e-05,1.3479e-05
15,6.6212,1.21135,1.48216,1.50833,0.59392,0.65,0.64736,0.43048,1.90237,1.64576,1.54741,1.43509e-05,1.43509e-05,1.43509e-05
16,7.04719,0.92864,0.98542,1.24248,0.57621,0.65788,0.64791,0.44859,1.90466,1.64672,1.54778,1.51993e-05,1.51993e-05,1.51993e-05
17,7.48193,1.05101,1.1459,1.3849,0.5898,0.66667,0.6484,0.44753,1.89705,1.66175,1.54592,1.60241e-05,1.60241e-05,1.60241e-05
18,7.90647,1.47614,1.81415,1.74772,0.5898,0.66667,0.6484,0.44753,1.89705,1.66175,1.54592,1.68253e-05,1.68253e-05,1.68253e-05
19,8.35403,0.95877,0.99617,1.22659,0.6187,0.66667,0.6478,0.44003,1.91721,1.67218,1.55641,1.7603e-05,1.7603e-05,1.7603e-05
20,8.77512,0.95726,1.2631,1.29443,0.6187,0.66667,0.6478,0.44003,1.91721,1.67218,1.55641,1.83571e-05,1.83571e-05,1.83571e-05
21,9.22003,0.951,1.13517,1.31163,0.55087,0.66667,0.64678,0.43093,1.93148,1.68585,1.56292,1.90876e-05,1.90876e-05,1.90876e-05
22,9.65779,1.10864,1.33744,1.42907,0.55087,0.66667,0.64678,0.43093,1.93148,1.68585,1.56292,1.97946e-05,1.97946e-05,1.97946e-05
23,10.0911,0.94181,1.1833,1.31557,0.8939,0.38333,0.64768,0.4242,1.92003,1.70637,1.56372,2.0478e-05,2.0478e-05,2.0478e-05
24,10.5446,1.13339,1.3051,1.42807,0.8939,0.38333,0.64768,0.4242,1.92003,1.70637,1.56372,2.11379e-05,2.11379e-05,2.11379e-05
25,10.973,1.04158,0.85075,1.3951,0.89312,0.38333,0.56578,0.3585,1.92196,1.73684,1.56665,2.17741e-05,2.17741e-05,2.17741e-05
26,11.3987,1.19207,1.05353,1.65705,0.89312,0.38333,0.56578,0.3585,1.92196,1.73684,1.56665,2.23869e-05,2.23869e-05,2.23869e-05
27,11.8454,1.20149,1.60254,1.42516,0.8891,0.38333,0.56603,0.32817,1.93963,1.77199,1.58054,2.2976e-05,2.2976e-05,2.2976e-05
28,12.2778,1.0909,1.30766,1.4737,0.8891,0.38333,0.56603,0.32817,1.93963,1.77199,1.58054,2.35417e-05,2.35417e-05,2.35417e-05
29,12.7239,1.24358,1.21476,1.38137,0.88609,0.38333,0.56826,0.33669,1.96894,1.77717,1.58523,2.40837e-05,2.40837e-05,2.40837e-05
30,13.1496,0.85775,0.74024,1.1794,0.88609,0.38333,0.56826,0.33669,1.96894,1.77717,1.58523,2.46022e-05,2.46022e-05,2.46022e-05
31,13.5965,1.00274,1.16506,1.26728,0.88459,0.38333,0.56938,0.3176,1.9734,1.80707,1.59095,2.50971e-05,2.50971e-05,2.50971e-05
32,14.0233,1.11268,1.0222,1.6798,0.88459,0.38333,0.56938,0.3176,1.9734,1.80707,1.59095,2.55685e-05,2.55685e-05,2.55685e-05
33,14.4645,0.93425,1.19483,1.20904,0.88013,0.38333,0.56961,0.32738,1.98446,1.83536,1.60338,2.60163e-05,2.60163e-05,2.60163e-05
34,14.8988,0.98798,1.08267,1.37902,0.88013,0.38333,0.56961,0.32738,1.98446,1.83536,1.60338,2.64405e-05,2.64405e-05,2.64405e-05
35,15.3316,0.98726,1.27857,1.39226,0.87761,0.38333,0.54293,0.34013,1.97944,1.85635,1.60971,2.68412e-05,2.68412e-05,2.68412e-05
36,15.7496,0.85686,0.80728,1.08813,0.87761,0.38333,0.54293,0.34013,1.97944,1.85635,1.60971,2.72183e-05,2.72183e-05,2.72183e-05
37,16.1932,0.94644,0.89761,1.35832,0.95322,0.26667,0.50404,0.3031,1.96847,1.87921,1.61735,2.75718e-05,2.75718e-05,2.75718e-05
38,16.6139,0.86948,0.87535,1.22214,0.95322,0.26667,0.50404,0.3031,1.96847,1.87921,1.61735,2.79018e-05,2.79018e-05,2.79018e-05
39,17.0589,0.83356,0.71964,1.10703,0.78791,0.36761,0.51829,0.3326,1.94512,1.88581,1.61459,2.82082e-05,2.82082e-05,2.82082e-05
40,17.5016,0.64879,0.69145,0.99603,0.78791,0.36761,0.51829,0.3326,1.94512,1.88581,1.61459,2.84911e-05,2.84911e-05,2.84911e-05
41,17.9308,0.8499,1.02956,1.35414,0.78968,0.36899,0.51918,0.35079,1.90808,1.91871,1.60339,2.87504e-05,2.87504e-05,2.87504e-05
42,18.363,0.92768,0.90623,1.30827,0.78968,0.36899,0.51918,0.35079,1.90808,1.91871,1.60339,2.89861e-05,2.89861e-05,2.89861e-05
43,18.8105,0.99891,0.89791,1.44483,0.79594,0.36976,0.5187,0.33075,1.92572,1.8921,1.61197,2.91983e-05,2.91983e-05,2.91983e-05
44,19.2465,0.66222,0.59901,1.06523,0.79594,0.36976,0.5187,0.33075,1.92572,1.8921,1.61197,2.93869e-05,2.93869e-05,2.93869e-05
45,19.6898,1.00792,0.90145,1.45357,0.79831,0.3693,0.51997,0.30647,1.93764,1.89865,1.62587,2.9552e-05,2.9552e-05,2.9552e-05
46,20.1257,0.96683,0.76171,1.3586,0.79831,0.3693,0.51997,0.30647,1.93764,1.89865,1.62587,2.96935e-05,2.96935e-05,2.96935e-05
47,20.5663,0.89088,0.78782,1.14924,0.80041,0.36941,0.51218,0.30529,1.93309,1.89386,1.62738,2.98114e-05,2.98114e-05,2.98114e-05
48,20.987,1.15323,1.2379,1.60789,0.80041,0.36941,0.51218,0.30529,1.93309,1.89386,1.62738,2.99058e-05,2.99058e-05,2.99058e-05
49,21.4344,1.06684,0.99636,1.57267,0.80239,0.36904,0.51345,0.32299,1.93448,1.91848,1.63398,2.99766e-05,2.99766e-05,2.99766e-05
50,21.855,0.75779,0.69028,1.19292,0.80239,0.36904,0.51345,0.32299,1.93448,1.91848,1.63398,3.00238e-05,3.00238e-05,3.00238e-05
51,22.2887,0.84783,0.77065,1.25362,0.80231,0.36871,0.51502,0.30948,1.93911,1.92142,1.648,3.00475e-05,3.00475e-05,3.00475e-05
52,22.7232,0.79799,0.77718,1.29281,0.80231,0.36871,0.51502,0.30948,1.93911,1.92142,1.648,3.00476e-05,3.00476e-05,3.00476e-05
53,23.1445,0.61809,0.56259,1.06976,0.80231,0.36871,0.51502,0.30948,1.93911,1.92142,1.648,3.00242e-05,3.00242e-05,3.00242e-05
54,23.593,0.65632,0.61363,1.05284,0.80291,0.36866,0.48384,0.28742,1.88107,1.93232,1.61889,2.99772e-05,2.99772e-05,2.99772e-05
55,24.0245,0.94594,0.75916,1.38128,0.80291,0.36866,0.48384,0.28742,1.88107,1.93232,1.61889,2.99066e-05,2.99066e-05,2.99066e-05
56,24.4477,0.79129,0.68268,1.23326,0.80291,0.36866,0.48384,0.28742,1.88107,1.93232,1.61889,2.98125e-05,2.98125e-05,2.98125e-05
57,24.8899,0.89608,0.84339,1.24439,0.78675,0.36857,0.47874,0.28722,1.87306,1.95559,1.62389,2.96948e-05,2.96948e-05,2.96948e-05
58,25.3336,0.72241,0.66206,1.18233,0.78675,0.36857,0.47874,0.28722,1.87306,1.95559,1.62389,2.95535e-05,2.95535e-05,2.95535e-05
59,25.7655,0.88559,0.68425,1.22764,0.78675,0.36857,0.47874,0.28722,1.87306,1.95559,1.62389,2.93887e-05,2.93887e-05,2.93887e-05
60,26.1991,0.97725,0.74065,1.35792,0.78699,0.37054,0.47342,0.28449,1.85729,1.96245,1.6263,2.92003e-05,2.92003e-05,2.92003e-05
61,26.6252,0.78405,0.63868,1.15607,0.78699,0.37054,0.47342,0.28449,1.85729,1.96245,1.6263,2.89884e-05,2.89884e-05,2.89884e-05
62,27.0563,1.0229,0.93676,1.44644,0.78699,0.37054,0.47342,0.28449,1.85729,1.96245,1.6263,2.87529e-05,2.87529e-05,2.87529e-05
63,27.4936,0.70475,0.58025,1.1038,0.78761,0.37125,0.46808,0.28066,1.8728,1.98068,1.62678,2.84938e-05,2.84938e-05,2.84938e-05
64,27.9185,0.68515,0.58038,1.05395,0.78761,0.37125,0.46808,0.28066,1.8728,1.98068,1.62678,2.82112e-05,2.82112e-05,2.82112e-05
65,28.3585,0.6319,0.69584,1.14685,0.78761,0.37125,0.46808,0.28066,1.8728,1.98068,1.62678,2.7905e-05,2.7905e-05,2.7905e-05
66,28.795,0.5671,0.63318,1.07793,0.78977,0.37296,0.50357,0.28791,1.86921,2.02179,1.62993,2.75753e-05,2.75753e-05,2.75753e-05
67,29.2471,0.72644,0.63869,1.11546,0.78977,0.37296,0.50357,0.28791,1.86921,2.02179,1.62993,2.7222e-05,2.7222e-05,2.7222e-05
68,29.6803,0.6809,0.68137,1.19234,0.78977,0.37296,0.50357,0.28791,1.86921,2.02179,1.62993,2.68451e-05,2.68451e-05,2.68451e-05
69,30.1134,0.90003,0.67816,1.12719,0.78801,0.37385,0.5093,0.27673,1.89359,2.05957,1.65385,2.64447e-05,2.64447e-05,2.64447e-05
70,30.5455,0.82021,0.70372,1.19596,0.78801,0.37385,0.5093,0.27673,1.89359,2.05957,1.65385,2.60207e-05,2.60207e-05,2.60207e-05
71,30.9744,0.65684,0.74137,1.16699,0.78801,0.37385,0.5093,0.27673,1.89359,2.05957,1.65385,2.55731e-05,2.55731e-05,2.55731e-05
72,31.4342,0.91458,0.69989,1.25144,0.79011,0.37808,0.51393,0.28568,1.85148,2.09441,1.63911,2.5102e-05,2.5102e-05,2.5102e-05
73,31.8537,0.80959,0.72738,1.26561,0.79011,0.37808,0.51393,0.28568,1.85148,2.09441,1.63911,2.46073e-05,2.46073e-05,2.46073e-05
74,32.291,0.92101,0.75699,1.39313,0.79011,0.37808,0.51393,0.28568,1.85148,2.09441,1.63911,2.40891e-05,2.40891e-05,2.40891e-05
75,32.7417,0.75048,0.73824,1.24991,0.79772,0.37873,0.50735,0.27451,1.8674,2.1456,1.65009,2.35472e-05,2.35472e-05,2.35472e-05
