epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.995703,1.20112,2.01977,1.4303,0.87865,0.63333,0.74046,0.47845,1.83049,1.33953,1.52897,0,0,0
2,1.28433,1.49092,2.69425,1.64344,0.85901,0.63333,0.7314,0.47757,1.84107,1.3767,1.53404,1.17822e-06,1.17822e-06,1.17822e-06
3,1.5673,1.8146,2.95894,1.96109,0.83439,0.63333,0.73163,0.47356,1.8066,1.4031,1.51916,2.33288e-06,2.33288e-06,2.33288e-06
4,1.87057,1.19131,2.14036,1.36834,0.80431,0.63333,0.73114,0.47357,1.7773,1.43374,1.50347,3.46397e-06,3.46397e-06,3.46397e-06
5,2.35799,1.34633,1.86752,1.40156,0.76772,0.63333,0.68931,0.44861,1.78487,1.44628,1.50555,4.5715e-06,4.5715e-06,4.5715e-06
6,2.81416,1.40027,2.51486,1.63422,0.74925,0.63333,0.64815,0.43195,1.79126,1.4681,1.50566,5.65548e-06,5.65548e-06,5.65548e-06
7,3.28567,1.31772,2.01576,1.4679,0.7463,0.63333,0.64815,0.44099,1.80247,1.48483,1.50904,6.71588e-06,6.71588e-06,6.71588e-06
8,3.73516,1.3963,2.47861,1.59376,0.72591,0.63333,0.6476,0.4409,1.81691,1.51995,1.52031,7.75273e-06,7.75273e-06,7.75273e-06
9,4.19613,1.21766,2.61566,1.53864,0.71176,0.63333,0.64778,0.44021,1.82165,1.54217,1.52304,8.76602e-06,8.76602e-06,8.76602e-06
10,4.64494,1.62687,2.37183,2.26919,0.71506,0.63333,0.6484,0.44108,1.82786,1.5698,1.52164,9.75574e-06,9.75574e-06,9.75574e-06
11,5.11436,1.56847,2.31198,1.85878,0.69978,0.63333,0.64827,0.44095,1.85884,1.58241,1.53358,1.07219e-05,1.07219e-05,1.07219e-05
12,5.56725,1.14564,2.01927,1.40195,0.66948,0.63333,0.6501,0.43177,1.89338,1.60223,1.54542,1.16645e-05,1.16645e-05,1.16645e-05
13,6.02802,1.15016,1.47133,1.27196,0.6436,0.63333,0.64421,0.43143,1.91337,1.61412,1.55158,1.25835e-05,1.25835e-05,1.25835e-05
