epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.33329,0.58779,0.62507,0.97196,0.86217,0.87505,0.97223,0.75863,1.04363,0.67219,1.1465,0,0,0
2,18.8506,0.74423,1.08396,1.14879,0.86076,0.8751,0.97081,0.75955,1.05095,0.67774,1.14889,1.07219e-06,1.07219e-06,1.07219e-06
3,30.0993,0.59382,0.99558,1.06711,0.8615,0.87443,0.97082,0.75909,1.04011,0.67994,1.14294,1.90876e-06,1.90876e-06,1.90876e-06
4,40.5504,0.59933,0.61001,1.01708,0.85779,0.87627,0.97083,0.75608,1.03148,0.6873,1.13927,2.50971e-06,2.50971e-06,2.50971e-06
5,50.5985,0.57407,0.38725,0.94779,0.85494,0.87737,0.97083,0.75608,1.03388,0.69203,1.14213,2.87504e-06,2.87504e-06,2.87504e-06
6,60.6029,0.74816,0.91757,1.2008,0.85608,0.8772,0.97085,0.75674,1.03286,0.69384,1.13757,3.00475e-06,3.00475e-06,3.00475e-06
7,70.5877,0.46099,0.45251,0.88959,0.8576,0.87738,0.97084,0.75829,1.02685,0.70556,1.13764,2.89884e-06,2.89884e-06,2.89884e-06
8,80.6354,0.52865,0.53119,0.97179,0.8578,0.87719,0.97294,0.75971,1.02114,0.71043,1.13396,2.55731e-06,2.55731e-06,2.55731e-06
9,91.5863,0.56294,0.5256,0.92657,0.86007,0.87683,0.97294,0.75961,1.02225,0.71576,1.13585,1.98016e-06,1.98016e-06,1.98016e-06
10,101.552,0.60542,0.61757,1.0574,0.86581,0.87599,0.97294,0.76029,1.02197,0.72147,1.13526,1.16739e-06,1.16739e-06,1.16739e-06
